theta1	omega1	alpha1	theta2	omega2	alpha2
-1.586797839269953325e-01	-2.232118798899433543e+00	3.429783378723952225e+00	8.407169898161506172e-01	4.544214071112850917e-02	-6.959661601992221946e+00
-2.297591159655509307e-01	-3.144042120676643570e+00	3.165409408854420015e+00	7.431596437612533190e-01	-1.902859982708242637e-01	-6.743664906533317627e+00
-1.158894021107414324e-01	-2.621363206562301151e+00	3.460969273842707583e+00	6.977538837804642124e-01	-1.253954010895559135e+00	-6.843513065532173201e+00
-1.664626881449432494e-02	-2.450322527334257039e+00	4.241345797162247244e+00	1.047352543224854271e+00	-1.477991051432001157e+00	-7.962206467440374524e+00
-1.515307670143436480e-01	-2.649444090753328762e+00	5.260478324092695779e+00	8.333520381404222466e-01	-1.025213168846103251e+00	-6.724248112070194239e+00
-2.165877088450894050e-01	-2.587909528234752177e+00	4.474836812018533116e+00	9.198900513789730615e-01	-4.964534747228381839e-01	-6.807518404920396726e+00
-3.209979112311043270e-01	-2.108733843081172399e+00	2.757190926296900102e+00	6.033345006081279882e-01	-7.260174888579082886e-01	-6.909650426923461097e+00
-3.054079651988559352e-01	-2.799511927334433103e+00	4.847523650471019074e+00	7.508667775674991995e-01	-5.552595777976426783e-01	-6.705059959882229137e+00
-4.357612508672294993e-01	-2.353319154062216700e+00	5.784694588846876151e+00	5.293206164045254347e-01	-7.245296055655731093e-01	-6.689877869606394079e+00
-4.441184850178684362e-01	-2.345406299105137204e+00	3.012754183893386895e+00	6.261564853704320033e-01	-5.156977978958434683e-01	-7.685242122175034218e+00
-3.242161541577845973e-01	-2.458666724357824407e+00	5.753323419601008126e+00	4.536100856934451864e-01	-1.176670665077628630e+00	-5.218867600305499010e+00
-3.297989565628062225e-01	-1.923672045370800054e+00	6.118679318393704492e+00	1.008282493660679791e+00	-7.723863420743122266e-01	-7.122624327210275830e+00
-1.294011826384374730e-01	-1.914976026952539989e+00	6.663498925686144325e+00	5.082165253807757743e-01	-1.521458401343175559e+00	-5.556945466350392770e+00
-3.200236625408552360e-01	-2.321842575420778321e+00	5.847249736081300497e+00	8.063017118883757384e-01	-1.242955329755506044e+00	-6.316685989427199388e+00
-3.948362016575245326e-01	-2.056108223235333377e+00	4.606711200170961362e+00	8.845841591622365385e-01	-1.417628991870163890e+00	-8.477620174567341849e+00
-3.382245307450731930e-01	-2.424604129486857662e+00	3.772439099164402343e+00	9.069288481309147887e-01	-7.552979837326061485e-01	-6.280884149873455335e+00
-2.355269374148173389e-01	-2.496830637971337641e+00	5.399062759169586556e+00	7.846165402607747641e-01	-1.238059943176406774e+00	-7.166618303601201667e+00
-4.490526893423867905e-01	-2.475485891316091092e+00	4.259372248209818856e+00	1.001694692870527703e+00	-1.694006426940549037e+00	-5.741266501926284960e+00
-3.101043663438089459e-01	-2.344448462074144146e+00	6.711381161116940497e+00	8.599148881256390986e-01	-1.114608320588384549e+00	-6.576670285309129227e+00
-3.218346160203484074e-01	-2.489660235103554609e+00	3.987276020551008493e+00	5.491800306222492933e-01	-1.588007468040238512e+00	-6.410694004966563497e+00
-4.399536608439442720e-01	-2.302806756427190571e+00	3.421414617108415879e+00	8.414091819492555135e-01	-1.093956665671469430e+00	-6.697273704131019301e+00
-4.453913562959996852e-01	-2.319236101552217377e+00	6.434368721224437593e+00	5.812437592091264094e-01	-1.517959734707944319e+00	-5.208661065315687289e+00
