Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.086286309457608290e+00	-5.256470955101287534e-02	-2.340147936080566246e-02	-2.904229319285920874e-01	5.789509399218142893e-03	5.207450441942817164e-03	8.444604710819662019e-01	-2.071782690152653220e-03	-4.777174728568292202e-04
-1.088204521983785478e+00	-5.356307077891805241e-02	-2.307261306378354665e-02	-2.899971812026829743e-01	5.892005939869765854e-03	4.656729710401562305e-03	8.443856747610751778e-01	-2.126547382698473505e-03	-5.839376770109701558e-04
-1.090157489805074098e+00	-5.454852840063163094e-02	-2.273464702449245339e-02	-2.895714304768234326e-01	5.958936861796179305e-03	4.098765900953302288e-03	8.443040787746363129e-01	-2.186969407807187304e-03	-6.870077605795827172e-04
-1.092144782515343193e+00	-5.552071374169100654e-02	-2.238710818716262846e-02	-2.891387002308353216e-01	5.989913294584064095e-03	3.536294110482704738e-03	8.442224827882071070e-01	-2.252861659779816818e-03	-7.865519068509512369e-04
-1.094165862106928122e+00	-5.647925505534635848e-02	-2.203016248029340471e-02	-2.887059699848472105e-01	5.984854545476572286e-03	2.973752683842476215e-03	8.441408868017780120e-01	-2.324024747361283158e-03	-8.823290033977010133e-04
-1.096220298173697483e+00	-5.742380517314540217e-02	-2.166410506515765305e-02	-2.882732397388590995e-01	5.943876216862944983e-03	2.413130229799765030e-03	8.440524911498009653e-01	-2.400245997614239117e-03	-9.741182975834506656e-04
-1.098307552707987300e+00	-5.835407222780521902e-02	-2.129167934612663168e-02	-2.878405094928709884e-01	5.866772856972205137e-03	1.846432489263420858e-03	8.439572958323050544e-01	-2.481236201907256050e-03	-1.059363338350462029e-03
-1.100427087702133155e+00	-5.927005314703863437e-02	-2.092233447259774295e-02	-2.874147587669618198e-01	5.747229542219686217e-03	1.297344274471696427e-03	8.438621005147995957e-01	-2.561640684012166796e-03	-1.018076032595953201e-03
-1.102578472750003646e+00	-6.017168034052749331e-02	-2.054699942069612012e-02	-2.869959875611812761e-01	5.614452901488650033e-03	1.043767067992467041e-03	8.437669051972940260e-01	-2.644342565107725418e-03	-1.085784547419642613e-03
-1.104761169843934354e+00	-6.105875103731736586e-02	-2.016871913793124443e-02	-2.865841958754796748e-01	5.455956732162745015e-03	6.128998163465675759e-04	8.436649102142503853e-01	-2.730014396379877931e-03	-1.131518071338964010e-03
-1.106974748577793877e+00	-6.193123758682354124e-02	-1.978964989706134478e-02	-2.861863632299361249e-01	5.270170959217768819e-03	1.926419569542206056e-04	8.435629152312162926e-01	-2.817180582928430210e-03	-1.149693839775523885e-03
-1.109218563342385444e+00	-6.278908468787663955e-02	-1.940860546886278432e-02	-2.857885305844420909e-01	5.061185160245459426e-03	-1.371141350860080827e-04	8.434541205826343591e-01	-2.904369182315813015e-03	-1.145460071603688528e-03
-1.111492183731577210e+00	-6.363202812377843909e-02	-1.902007989899695550e-02	-2.854046569791556243e-01	4.837531449704361372e-03	-5.081877622670307511e-04	8.433385262685240136e-01	-2.996092148030163327e-03	-1.222699288468664155e-03
-1.113795071737704978e+00	-6.445998494277487001e-02	-1.862938688810852547e-02	-2.850347424140271535e-01	4.581204326253088092e-03	-8.614225962245349467e-04	8.432229319544135571e-01	-3.085073276460906927e-03	-1.160499699641039280e-03
-1.116126689353104773e+00	-6.527246050662857679e-02	-1.822152506393762833e-02	-2.846787868891062501e-01	4.310437348421705846e-03	-1.036420793475878238e-03	8.431073376403032116e-01	-3.169067631262362066e-03	-1.056801026603262136e-03
-1.118486498570112175e+00	-6.606912608061038528e-02	-1.781012369769190834e-02	-2.843367904043433425e-01	4.037543744459497728e-03	-8.263772328965181442e-04	8.429849436606545732e-01	-3.241203270028047458e-03	-8.365007316654194443e-04
-1.120873853779530194e+00	-6.684956690594985595e-02	-1.738533716658853534e-02	-2.840017734397089488e-01	3.746985008071754622e-03	-1.233680440552137108e-03	8.428557500154678639e-01	-3.307813562948396392e-03	-7.373035565248233208e-04
-1.123288324575226982e+00	-6.761329756127122670e-02	-1.694712797716851904e-02	-2.836876950353611204e-01	3.504789561344116497e-03	-3.874586231821217672e-04	8.427265563702810436e-01	-3.371609135353682493e-03	-7.294377481569526119e-04
-1.125729265348005770e+00	-6.835969744456239783e-02	-1.649019918118376296e-02	-2.833805961510922899e-01	3.276145061020885665e-03	-2.963302196950704892e-04	8.425973627250943343e-01	-3.431558000531528731e-03	-6.052383528586045532e-04
-1.128195922887136549e+00	-6.908787866482592188e-02	-1.600995264464298920e-02	-2.830804767869520844e-01	3.055863992957046690e-03	3.755634665287798875e-06	8.424681690799171729e-01	-3.477527895120232932e-03	-3.030636156558417994e-04
