theta1	omega1	alpha1	theta2	omega2	alpha2
-4.122398012550747559e+00	-1.911887248533393313e+00	-1.529788968810180450e+00	-1.454610775810797385e+01	-2.883099264971598519e+00	1.197769427966932199e+00
-4.131968199148442267e+00	-1.919683950921504456e+00	-1.591363608106576066e+00	-1.456049609512385778e+01	-2.877565406358713496e+00	1.017591636920315068e+00
-4.141578094749421624e+00	-1.927783586382856518e+00	-1.651068354315270881e+00	-1.457485903996432697e+01	-2.872934069959955927e+00	8.364311838358844398e-01
-4.151229189152721766e+00	-1.936176771453706147e+00	-1.708885836209105946e+00	-1.458920111339583237e+01	-2.869210223260552972e+00	6.542651972963540175e-01
-4.160922925227760416e+00	-1.944854030591921745e+00	-1.764796499144040354e+00	-1.460352686152233836e+01	-2.866398940065906231e+00	4.710740667469508480e-01
-4.170660698354796025e+00	-1.953805784414884839e+00	-1.818778458981455515e+00	-1.461784085616995021e+01	-2.864505382981503701e+00	2.868417072688771441e-01
-4.180443855454481827e+00	-1.963022339136878402e+00	-1.870807458486865471e+00	-1.463214769465919396e+01	-2.863534786904235130e+00	1.015556457000457158e-01
-4.190273694798687387e+00	-1.972493871210757588e+00	-1.920856031714038181e+00	-1.464645200073616493e+01	-2.863492436981532219e+00	-8.479201056525198510e-02
-4.200151465369283521e+00	-1.982210413535640203e+00	-1.968894087066132670e+00	-1.466075842483318326e+01	-2.864383648128335125e+00	-2.722051858606846508e-01
-4.210078366026062113e+00	-1.992161841817241319e+00	-2.014888895272974878e+00	-1.467507164404571540e+01	-2.866213744448641076e+00	-4.606837259482290392e-01
-4.220055544334342379e+00	-2.002337861642935035e+00	-2.058804780693094472e+00	-1.468939636160174800e+01	-2.868988038940524898e+00	-6.502230615051303175e-01
-4.230084096119690606e+00	-2.012727991657991655e+00	-2.100602777299741319e+00	-1.470373730741594365e+01	-2.872711809399735472e+00	-8.408138398397113633e-01
-4.240165064458045308e+00	-2.023321548482871712e+00	-2.140240891896041830e+00	-1.471809923780226903e+01	-2.877390275596170000e+00	-1.032442102942695783e+00
-4.250299438528789331e+00	-2.034107631650469372e+00	-2.177674338622409778e+00	-1.473248693496788952e+01	-2.883028576156742240e+00	-1.225089428723777019e+00
