# theta1	omega1	alpha1	theta2	omega2	alpha2
-2.513583295903171200e-02	2.201741642456227055e+00	-2.745784600077899817e+00	7.387988498073427834e-01	-6.705679177294840088e+00	-2.569119095818659382e-01
-4.223374703660917606e-02	2.362648696657515757e+00	-2.731535694542879700e+00	7.370639196762898138e-01	-6.758912263141937160e+00	-2.989457288274571245e-01
-5.923958387397899872e-02	2.521465658980787339e+00	-2.716288852701640888e+00	7.350655851478853364e-01	-6.804649370634308525e+00	-3.412883972905635943e-01
-7.614715332406213344e-02	2.678327587698959178e+00	-2.700056697111404169e+00	7.328020632617241459e-01	-6.843046482320090718e+00	-3.838935988989526926e-01
-9.295034059966905682e-02	2.833367073093768340e+00	-2.682851020879399417e+00	7.302718562995059726e-01	-6.874273424931971022e+00	-4.267160302956697349e-01
-1.096431032959550717e-01	2.986709641199013276e+00	-2.664682798289475407e+00	7.274737472427528218e-01	-6.898509961248009859e+00	-4.697114895516262822e-01
-1.262194643956189855e-01	3.138468364024447510e+00	-2.645562268148180074e+00	7.244067907159362774e-01	-6.915941270017953002e+00	-5.128369070700342647e-01
-1.426735087394042922e-01	3.288754028316589029e+00	-2.625498968088515017e+00	7.210703066923145332e-01	-6.926765332200346847e+00	-5.560504113393017755e-01
-1.589993789661928725e-01	3.437660720936719372e+00	-2.604501792888033851e+00	7.174638729873830112e-01	-6.931181370656418039e+00	-5.993113735394373087e-01
-1.751912708525465157e-01	3.585275715808165842e+00	-2.582579077972685155e+00	7.135873164778415711e-01	-6.929397009056657453e+00	-6.425804299377307904e-01
-1.912434311557140443e-01	3.731676782764225209e+00	-2.559738632544062309e+00	7.094407063736373198e-01	-6.921625767338753121e+00	-6.858195399779660750e-01
-2.071501536974449942e-01	3.876926497228396329e+00	-2.535987835733946483e+00	7.050243448222558440e-01	-6.908082307470579053e+00	-7.289919939208643340e-01
-2.229057771419038769e-01	4.021082477065988314e+00	-2.511333691159260972e+00	7.003387589201683916e-01	-6.888989412652279043e+00	-7.720624481026653330e-01
-2.385046830536262930e-01	4.164186307139516430e+00	-2.485782888867426266e+00	6.953846923347567488e-01	-6.864569601671746568e+00	-8.149969519064051982e-01
-2.539412938133513431e-01	4.306270995348882025e+00	-2.459341891769126764e+00	6.901630959545588251e-01	-6.835049778107531893e+00	-8.577629540662654595e-01
-2.692100716503427194e-01	4.447360596879207151e+00	-2.432016977674881453e+00	6.846751197512036535e-01	-6.800660417225060428e+00	-9.003293358251163170e-01
-2.843055176315720800e-01	4.587465796717197009e+00	-2.403814321067222703e+00	6.789221033257640814e-01	-6.761632189058047970e+00	-9.426664149063130882e-01
-2.992221711494359448e-01	4.726591424757657478e+00	-2.374740048816915916e+00	6.729055670273491607e-01	-6.718199948369203867e+00	-9.847459621027270238e-01
-3.139546098207374181e-01	4.864730255798463077e+00	-2.344800292105519990e+00	6.666272030227176071e-01	-6.670598683328421430e+00	-1.026541216872507434e+00
-3.284974498360404005e-01	5.001867436977136094e+00	-2.314001255237081001e+00	6.600888657619340405e-01	-6.619065330841294781e+00	-1.068026889982143457e+00
-3.428453462342340163e-01	5.137981043102513468e+00	-2.282349253152033963e+00	6.532925631402933808e-01	-6.563838494022718351e+00	-1.109179178753571193e+00
-3.569929941561722497e-01	5.273039240996013177e+00	-2.249850771725438570e+00	6.462404468813711667e-01	-6.505156680579773365e+00	-1.149975768684301958e+00
-3.709351300549212360e-01	5.407005441287878966e+00	-2.216512513040885590e+00	6.389348032029307234e-01	-6.443259891683055685e+00	-1.190395838341445689e+00
-3.846665324798319019e-01	5.539836982773977070e+00	-2.182341421040526086e+00	6.313780439588991822e-01	-6.378388648625502810e+00	-1.230420068420503554e+00
-3.981820246014700082e-01	5.671483868047062060e+00	-2.147344733417969831e+00	6.235726967531620701e-01	-6.310783098833951499e+00	-1.270030638694110481e+00
-4.114764758853904358e-01	5.801892648331545388e+00	-2.111530011241244065e+00	6.155213956983803802e-01	-6.240683481623477746e+00	-1.309211228993929055e+00
