theta1	omega1	alpha1	theta2	omega2	alpha2
3.108379874682882793e+00	-4.519189289741545323e-01	-4.739366608548095883e+00	1.121885382807435105e+00	-3.095394362532313703e+00	-1.229215985146197454e+01
3.106061350414532463e+00	-4.760607627829502309e-01	-4.922610128998968548e+00	1.106261195284367060e+00	-3.157227446129056592e+00	-1.245353045800106884e+01
3.103619861909029165e+00	-5.011309540992335831e-01	-5.110896745922048012e+00	1.090325935189277118e+00	-3.219885598394532256e+00	-1.262237097439037825e+01
3.101050706080957120e+00	-5.271549805553829016e-01	-5.304335495831196567e+00	1.074075385001313165e+00	-3.283406632528508062e+00	-1.279887295183107199e+01
3.098349051200250504e+00	-5.541588652726660014e-01	-5.503035875465116078e+00	1.057505135889047487e+00	-3.347829318813856148e+00	-1.298322824588490221e+01
3.095509933791271262e+00	-5.821691722515993650e-01	-5.707103698938055913e+00	1.040610582498025627e+00	-3.413193376129977974e+00	-1.317562309764048223e+01
3.092528256676695619e+00	-6.112129629808178422e-01	-5.916632474746961634e+00	1.023386919102605486e+00	-3.479539411705542928e+00	-1.337622709497713913e+01
3.089398786350602499e+00	-6.413177716469669054e-01	-6.131718182489123592e+00	1.005829135002237695e+00	-3.546908885964710656e+00	-1.358521251791285067e+01
3.086116149956397603e+00	-6.725115908506267282e-01	-6.352446530661779889e+00	9.879320094870385205e-01	-3.615344091367187485e+00	-1.380273760318641507e+01
3.082674834317955526e+00	-7.048227946558535129e-01	-6.578885482394412065e+00	9.696901093347393141e-01	-3.684888045252561195e+00	-1.402893569088382719e+01
3.079069183678572408e+00	-7.382800931908330977e-01	-6.811101061836211557e+00	9.510977847335033708e-01	-3.755584428085459781e+00	-1.426393812918217918e+01
3.075293397232865544e+00	-7.729124888374675484e-01	-7.049142040197125425e+00	9.321491649733577578e-01	-3.827477524903002859e+00	-1.450785234480918007e+01
3.071341529327140663e+00	-8.087491561170104815e-01	-7.293029718894672442e+00	9.128381576410284914e-01	-3.900612055607291406e+00	-1.476074674982692159e+01
3.067207488498246537e+00	-8.458193500285777766e-01	-7.542774081965092137e+00	8.931584463012858244e-01	-3.975033048604267094e+00	-1.502267506602993308e+01
3.062885036781388237e+00	-8.841523059147197161e-01	-7.798355503862183014e+00	8.731034885891654218e-01	-4.050785702100295538e+00	-1.529364873238569089e+01
3.058367790705474931e+00	-9.237770930733997243e-01	-8.059728671020423008e+00	8.526665166347933145e-01	-4.127915175995959807e+00	-1.557364355897243513e+01
3.053649221473158537e+00	-9.647224801555777107e-01	-8.326813460969844982e+00	8.318405363122216567e-01	-4.206466405400148822e+00	-1.586258564119407310e+01
3.048722658610848679e+00	-1.007016708364395052e+00	-8.599483457106259721e+00	8.106183314308842425e-01	-4.286483768842007436e+00	-1.616033349906683725e+01
3.043581291625786722e+00	-1.050687314379868509e+00	-8.877578437590500471e+00	7.889924650752287993e-01	-4.368010838617149005e+00	-1.646669850697662696e+01
3.038218174713757325e+00	-1.095760874724607703e+00	-9.160872017495762520e+00	7.669552854062030578e-01	-4.451090005288667051e+00	-1.678139250972435548e+01
3.032626232881590500e+00	-1.142262710397860204e+00	-9.449090949922833715e+00	7.444989334954549287e-01	-4.535762040606916123e+00	-1.710406067531812369e+01
3.026798267097624784e+00	-1.190216608020767675e+00	-9.741885687106218938e+00	7.216153496962299796e-01	-4.622065690642381597e+00	-1.743423231252245387e+01
3.020726965757502658e+00	-1.239644386080278826e+00	-1.003882668003109302e+01	6.982962896238369410e-01	-4.710037008717598894e+00	-1.777131550086733114e+01
3.014404912249074808e+00	-1.290565550324815014e+00	-1.033940673686208811e+01	6.745333339758363689e-01	-4.799708848132718586e+00	-1.811460207939808242e+01
3.007824600393750103e+00	-1.342996762544585332e+00	-1.064299721892564321e+01	6.503179106496638218e-01	-4.891110030838436096e+00	-1.846319120072075748e+01
3.000978448900839979e+00	-1.396951324347011525e+00	-1.094888039435988958e+01	6.256413151368741543e-01	-4.984264550937310467e+00	-1.881604894952306495e+01
2.993858817868052302e+00	-1.452438610322821511e+00	-1.125619170105164812e+01	6.004947341403469308e-01	-5.079190691665577795e+00	-1.917190401684865719e+01
2.986458034346298973e+00	-1.509463297613208077e+00	-1.156392488738242719e+01	5.748692837903273123e-01	-5.175899774940784681e+00	-1.952925934250151840e+01
2.978768414309427737e+00	-1.568024667775898440e+00	-1.187091556738187137e+01	5.487560417893334597e-01	-5.274395054849120079e+00	-1.988636161029035065e+01
2.970782292718414652e+00	-1.628115738700583792e+00	-1.217582311112403204e+01	5.221460930005914491e-01	-5.374670294588446140e+00	-2.024117031109744858e+01
2.962492055828406023e+00	-1.689722334823849703e+00	-1.247709808230956696e+01	4.950305783027249551e-01	-5.476708241487546758e+00	-2.059129457560675291e+01
2.953890182688287513e+00	-1.752821980045995431e+00	-1.277297448378681111e+01	4.674007590807495727e-01	-5.580478755041902161e+00	-2.093398185520618426e+01
2.944969286190722180e+00	-1.817382791604127634e+00	-1.306144090341388164e+01	4.392480806535443150e-01	-5.685936955797832759e+00	-2.126605873518064982e+01
2.935722166271127698e+00	-1.883362168897630973e+00	-1.334022273529456015e+01	4.105642568899040001e-01	-5.793020954804310563e+00	-2.158390073727650815e+01
2.926141863804704535e+00	-1.950705443697072106e+00	-1.360675566336215070e+01	3.813413553657227784e-01	-5.901649530842455249e+00	-2.188337225577788558e+01
2.916221727759933824e+00	-2.019344358257516348e+00	-1.385816606222567771e+01	3.515719065254662712e-01	-6.011719420258025082e+00	-2.215979339825753414e+01
2.905955483734649736e+00	-2.089195491669308069e+00	-1.409125530201936272e+01	3.212490143834693113e-01	-6.123102537299073944e+00	-2.240789464986255553e+01
2.895337317399363730e+00	-2.160158573501793189e+00	-1.430247363884359402e+01	2.903664950086189411e-01	-6.235642882633070094e+00	-2.262177085561052081e+01
2.884361959646475793e+00	-2.232114721021847714e+00	-1.448793016273862122e+01	2.589190170696947235e-01	-6.349153337897912586e+00	-2.279487759614403330e+01
2.873024787139730751e+00	-2.304924704773387845e+00	-1.464335747156655998e+01	2.269022722668486147e-01	-6.463412376142268378e+00	-2.291996703979202721e+01
2.861321925652763554e+00	-2.378427079780400799e+00	-1.476415986534902913e+01	1.943131492871123522e-01	-6.578160557037778133e+00	-2.298915349076560233e+01
