theta1	omega1	alpha1	theta2	omega2	alpha2
9.213451014389567595e-02	-2.814711711209225253e+00	1.050623118880594120e+00	7.438117304021482079e-01	1.491716957449315539e-02	-6.141404903876426680e+00
7.808100158719724626e-02	-2.809101883930687826e+00	1.193958815619907909e+00	7.438092199959023265e-01	-1.599356581067638491e-02	-6.227514385118587015e+00
6.405731148433033151e-02	-2.802780632010613004e+00	1.335332132379789982e+00	7.436511716656836191e-01	-4.732162595992425724e-02	-6.308411080544118477e+00
5.006697099675419538e-02	-2.795757605408306645e+00	1.474806955994154123e+00	7.433355648897177481e-01	-7.904098334239922918e-02	-6.384107061295857477e+00
3.611346395589885849e-02	-2.788042123622484159e+00	1.612451356299288818e+00	7.428605089486395308e-01	-1.111257011048603915e-01	-6.454626145511532798e+00
2.220022869725726475e-02	-2.779643158290686866e+00	1.748336492750922844e+00	7.422242422302084419e-01	-1.435499854595345126e-01	-6.520001640277868660e+00
8.330659213530941867e-03	-2.770569319619098803e+00	1.882535352955756025e+00	7.414251319286981889e-01	-1.762882317860632875e-01	-6.580275822350188264e+00
-5.491892263919072315e-03	-2.760828851213357193e+00	2.015121831915848816e+00	7.404616723251633559e-01	-2.093150674936082034e-01	-6.635499166125512716e+00
-1.926411390935622164e-02	-2.750429622625185644e+00	2.146171483454963891e+00	7.393324839683551586e-01	-2.426053930760842248e-01	-6.685730323585076462e+00
-3.298273240275746004e-02	-2.739379129494489806e+00	2.275758119246120259e+00	7.380363121888868783e-01	-2.761344175003375701e-01	-6.731033877118107966e+00
-4.664451070246104086e-02	-2.727684499519946293e+00	2.403955738788226881e+00	7.365720251427564369e-01	-3.098776889400715606e-01	-6.771481363189820968e+00
-6.024624691031224555e-02	-2.715352490242729733e+00	2.530837022249670554e+00	7.349386126865300461e-01	-3.438111301279194731e-01	-6.807150049697469285e+00
-7.378477167154957883e-02	-2.702389508180539579e+00	2.656470587428884755e+00	7.331351837063868615e-01	-3.779110574390618371e-01	-6.838120767033615266e+00
-8.725694634098568603e-02	-2.688801621584092416e+00	2.780924019937856428e+00	7.311609639904834701e-01	-4.121542038143978792e-01	-6.864480000233612600e+00
-1.006596625383781030e-01	-2.674594555692246800e+00	2.904264637580581621e+00	7.290152952568710321e-01	-4.465177542125416399e-01	-6.886320336001773512e+00
-1.139898395754561783e-01	-2.659773723240170362e+00	3.026551661433131812e+00	7.266976319664326667e-01	-4.809793536381135604e-01	-6.903734384338434893e+00
-1.272444226483710472e-01	-2.644344246709894986e+00	3.147842279624683215e+00	7.242075386950886928e-01	-5.155171206971511655e-01	-6.916819241348775904e+00
-1.404203821941510943e-01	-2.628310960059434098e+00	3.268193624908462880e+00	7.215446885173573133e-01	-5.501096762833210807e-01	-6.925677908362331436e+00
-1.535147122147406396e-01	-2.611678436121060987e+00	3.387653500955821073e+00	7.187088601488326178e-01	-5.847361517444914503e-01	-6.930411973028697048e+00
-1.665244286217479885e-01	-2.594451017089433709e+00	3.506266581878662691e+00	7.156999349324346671e-01	-6.193761939707796982e-01	-6.931126266283627047e+00
-1.794465686188468634e-01	-2.576632822051630800e+00	3.624077594575283001e+00	7.125178947783629146e-01	-6.540099872770341882e-01	-6.927931086428600338e+00
-1.922781896997303730e-01	-2.558227768399571112e+00	3.741121730702616333e+00	7.091628194988874867e-01	-6.886182640099578478e-01	-6.920934819909007274e+00
-2.050163682580057600e-01	-2.539239608125283709e+00	3.857430440350071876e+00	7.056348835192945979e-01	-7.231823031980006977e-01	-6.910248163840549296e+00
-2.176581990485936813e-01	-2.519671940479575767e+00	3.973034263400677446e+00	7.019343534453938993e-01	-7.576839459002523425e-01	-6.895985916807603644e+00
-2.302007946497222068e-01	-2.499528227083606335e+00	4.087955957338635926e+00	6.980615854788824182e-01	-7.921056078075341400e-01	-6.878261946779446134e+00
-2.426412845489295533e-01	-2.478811829947589196e+00	4.202213715344214506e+00	6.940170220437950066e-01	-8.264302748156102663e-01	-6.857191313186717707e+00
-2.549768147836585785e-01	-2.457526026848093181e+00	4.315823789918340481e+00	6.898011891000329632e-01	-8.606415135631340085e-01	-6.832891789125540072e+00
-2.672045476724010382e-01	-2.435674023216870765e+00	4.428796993394144010e+00	6.854146934974398864e-01	-8.947234830843789899e-01	-6.805481418498004587e+00
