theta1	omega1	alpha1	theta2	omega2	alpha2
8.514320563332296032e-01	-1.584379683198632316e+00	-7.990498819047616053e+00	5.817685396242177065e-01	5.873098442383991591e-01	1.489918279736059503e+00
8.434178315428776385e-01	-1.624144220946079686e+00	-7.929030722066613635e+00	5.847209289745600724e-01	5.946860715851487456e-01	1.462592122668468164e+00
8.352057437191681144e-01	-1.663593265685425759e+00	-7.864168447614815705e+00	5.877098105858273858e-01	6.019168125335850883e-01	1.431638452249387683e+00
8.267974117194331063e-01	-1.702709585979178764e+00	-7.795799728904057702e+00	5.907344116458345118e-01	6.089834836738410306e-01	1.396869579714007159e+00
8.181945420183568407e-01	-1.741475372825892931e+00	-7.723809332508153602e+00	5.937938639681454855e-01	6.158665398229220544e-01	1.358093488654787961e+00
8.093989312638246725e-01	-1.779872276004655030e+00	-7.648094407200233036e+00	5.968871996618677622e-01	6.225455252544140894e-01	1.315135653887239187e+00
8.004124691371721223e-01	-1.817881419205525262e+00	-7.568546947575782724e+00	6.000133463604142570e-01	6.289990952438989646e-01	1.267814355946654814e+00
7.912371410143780315e-01	-1.855483416474525304e+00	-7.485074239453638256e+00	6.031711227272102960e-01	6.352050391798035323e-01	1.215969280253034412e+00
7.818750299302168472e-01	-1.892658432800816914e+00	-7.397583921125260531e+00	6.063592349540103399e-01	6.411403654175171773e-01	1.159440670461094669e+00
7.723283196871759682e-01	-1.929386179663576284e+00	-7.305993291466393202e+00	6.095762716388277713e-01	6.467812953659564101e-01	1.098082269327449012e+00
7.625992957068122857e-01	-1.965646004086669674e+00	-7.210232685849632617e+00	6.128207018406800488e-01	6.521033876365612825e-01	1.031766015540767967e+00
7.526903481341010727e-01	-2.001416895525246264e+00	-7.110234119306710454e+00	6.160908699690789136e-01	6.570815480782875584e-01	9.603662751234764983e-01
7.426039723523805147e-01	-2.036677567911486797e+00	-7.005953142152407054e+00	6.193849943012753601e-01	6.616901441662379479e-01	8.837901865474009355e-01
