No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
320,6.3800000e-03,-2.2008666e+02,4.8799411e-01,-1.8160587e+00
321,6.4000000e-03,-2.2060111e+02,4.8442377e-01,-1.8244563e+00
322,6.4200000e-03,-2.2111344e+02,4.8091395e-01,-1.8327001e+00
323,6.4400000e-03,-2.2162363e+02,4.7645834e-01,-1.8408836e+00
324,6.4600000e-03,-2.2213168e+02,4.7212074e-01,-1.8489393e+00
325,6.4800000e-03,-2.2263760e+02,4.6801607e-01,-1.8568411e+00
326,6.5000000e-03,-2.2314137e+02,4.6411524e-01,-1.8645779e+00
327,6.5200000e-03,-2.2364297e+02,4.6038178e-01,-1.8721467e+00
328,6.5400000e-03,-2.2414238e+02,4.5678932e-01,-1.8795479e+00
329,6.5600000e-03,-2.2463954e+02,4.5360043e-01,-1.8874043e+00
330,6.5800000e-03,-2.2513449e+02,4.5041194e-01,-1.8952656e+00
331,6.6000000e-03,-2.2562724e+02,4.4718705e-01,-1.9030041e+00
332,6.6200000e-03,-2.2611775e+02,4.4394792e-01,-1.9105812e+00
333,6.6400000e-03,-2.2660598e+02,4.4071662e-01,-1.9179838e+00
334,6.6600000e-03,-2.2709189e+02,4.3750887e-01,-1.9252071e+00
335,6.6800000e-03,-2.2757547e+02,4.3433587e-01,-1.9322501e+00
336,6.7000000e-03,-2.2805670e+02,4.3120600e-01,-1.9391133e+00
337,6.7200000e-03,-2.2853555e+02,4.2811175e-01,-1.9457690e+00
338,6.7400000e-03,-2.2901206e+02,4.2476072e-01,-1.9515399e+00
339,6.7600000e-03,-2.2948613e+02,4.2157829e-01,-1.9568930e+00
340,6.7800000e-03,-2.2995774e+02,4.1860323e-01,-1.9619658e+00
341,6.8000000e-03,-2.3042686e+02,4.1580951e-01,-1.9668025e+00
342,6.8200000e-03,-2.3089349e+02,4.1317245e-01,-1.9714212e+00
343,6.8400000e-03,-2.3135760e+02,4.1067618e-01,-1.9758315e+00
