No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
326,6.5000000e-03,-2.5241948e+04,-1.9929182e+02,-3.9531774e+02
327,6.5200000e-03,-2.5133941e+04,-1.9081280e+02,-3.8708736e+02
328,6.5400000e-03,-2.5025000e+04,-1.8328674e+02,-3.7875315e+02
329,6.5600000e-03,-2.4913538e+04,-1.6732537e+02,-3.9113148e+02
330,6.5800000e-03,-2.4803097e+04,-1.6199143e+02,-3.9541532e+02
331,6.6000000e-03,-2.4692630e+04,-1.6142605e+02,-3.9274085e+02
332,6.6200000e-03,-2.4581024e+04,-1.6171192e+02,-3.8646000e+02
333,6.6400000e-03,-2.4467845e+04,-1.6154585e+02,-3.7853915e+02
334,6.6600000e-03,-2.4353129e+04,-1.6070518e+02,-3.6991619e+02
335,6.6800000e-03,-2.4237070e+04,-1.5926626e+02,-3.6102073e+02
336,6.7000000e-03,-2.4119846e+04,-1.5734834e+02,-3.5205232e+02
337,6.7200000e-03,-2.4001652e+04,-1.5552173e+02,-3.4213892e+02
338,6.7400000e-03,-2.3884120e+04,-1.6347178e+02,-3.0933260e+02
339,6.7600000e-03,-2.3763688e+04,-1.6050160e+02,-2.8446581e+02
340,6.7800000e-03,-2.3641326e+04,-1.5259951e+02,-2.6681908e+02
341,6.8000000e-03,-2.3517832e+04,-1.4392044e+02,-2.5305791e+02
342,6.8200000e-03,-2.3393474e+04,-1.3580559e+02,-2.4119145e+02
343,6.8400000e-03,-2.3268234e+04,-1.2840743e+02,-2.3027933e+02
344,6.8600000e-03,-2.3142005e+04,-1.2157314e+02,-2.1990128e+02
